session_id,timestamp,model_name,instruction_mode,status,checkpoint_path,exp,head,window,bbox_scale,grounder_model,grounder_input_px,preview_enabled,preview_hint_cx,grounding_skip_n,multi_prompt,git_commit,n_frames,avg_latency_ms,top_action,has_runtime_config
20260303_225026,2026-03-03T22:50:26.183003,Test-Model-V3,,completed,,,,,,,,,,,,,3,,,False
20260305_100321,2026-03-05T10:03:21.022159,unknown,,completed,,,,,,,,,,,,,,,,False
20260305_100638,2026-03-05T10:06:38.572730,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_100719,2026-03-05T10:07:19.549830,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_100806,2026-03-05T10:08:06.560500,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_101633,2026-03-05T10:16:33.775304,v3_exp07_lora_light.ckpt,,completed,,,,,,,,,,,,,,,,False
20260305_101634,2026-03-05T10:16:34.059843,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_102030,2026-03-05T10:20:30.553690,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_102124,2026-03-05T10:21:24.546171,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_102739,2026-03-05T10:27:39.557603,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_103454,2026-03-05T10:34:54.560534,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_103542,2026-03-05T10:35:42.767633,v3_exp07_lora_light.ckpt,,completed,,,,,,,,,,,,,,,,False
20260305_103543,2026-03-05T10:35:43.052724,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_103630,2026-03-05T10:36:30.548813,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_104226,2026-03-05T10:42:26.549391,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_104306,2026-03-05T10:43:06.810176,v3_exp07_lora_light.ckpt,,completed,,,,,,,,,,,,,,,,False
20260305_104307,2026-03-05T10:43:07.094585,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_104605,2026-03-05T10:46:05.561199,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_104706,2026-03-05T10:47:06.777478,v3_exp07_lora_light.ckpt,,completed,,,,,,,,,,,,,,,,False
20260305_104707,2026-03-05T10:47:07.062236,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260305_104859,2026-03-05T10:48:59.554900,mobile_vla_v3_exp07_lora,,completed,,,,,,,,,,,,,34,,,False
20260306_112328,2026-03-06T11:23:28.643064,unknown,,completed,,,,,,,,,,,,,,,,False
20260306_113746,2026-03-06T11:37:46.345836,mobile_vla_v3_exp08_center_goal,,completed,,,,,,,,,,,,,34,,,False
20260306_113830,2026-03-06T11:38:30.346144,mobile_vla_v3_exp08_center_goal,,completed,,,,,,,,,,,,,34,,,False
20260306_113917,2026-03-06T11:39:17.340779,mobile_vla_v3_exp08_center_goal,,completed,,,,,,,,,,,,,34,,,False
20260306_114003,2026-03-06T11:40:03.876567,mobile_vla_v3_exp08_center_goal,,completed,,,,,,,,,,,,,34,,,False
20260306_114228,2026-03-06T11:42:28.848475,mobile_vla_v3_exp08_center_goal,,completed,,,,,,,,,,,,,34,,,False
